2022-01-06 15,3dprintRaceTech,"California, USA","['Omicron', 'antivaxxers']",RT @TheoMoudakis
2022-01-06 15,LolitaZulay2,,"['Canada', 'Ontario', 'ARNm']",RT @AUSTROHNGARO2
2022-01-06 15,DRPAULTEICH,ABINGTON PA,"['TrumpCoupAttempt', 'Israel', 'Messiah']",@johnlundin #TrumpCoupAttempt  HIS FOLLOWERS CONSIDER HIM THE KING OF #Israel  AND THE #Messiah  PRE
2022-01-06 15,YTZJewels,Living in midtown 6ix 🇨🇦,[],@LateNightCam Agreed. Lessons need to be learned and taught. They should be on the hook financially 
2022-01-06 15,imsuprateek,India,['Omicron'],RT @BDUTT
2022-01-06 15,EuropeanTraders,Germany France Spain Italy ,[],$UAL $LUV $SPY $SPX $ARKK $TSLA $BBIG $FB $QQQ $NDX $MRNA $CZR $VIX $AAL $SAVE $CCL $DWAC $RCL $LCID
2022-01-06 15,simardren1,victoriaville,[],RT @JeanBottari
2022-01-06 15,bckaemper,"Stuttgart, Germany",['Omicron'],RT @BrinkmannLab
2022-01-06 15,CUSystem,COLORADO,"['Omicron', 'COVID19']",RT @CUToddSaliman
2022-01-06 15,tomiguieles,,['COVID19'],RT @rafaelg_fisica
2022-01-06 15,Peter37570912,,[],RT @HowardSteen4
2022-01-06 15,HumanRe41270855,"Berlin, Germany",[],RT @CopaceticNI
2022-01-06 15,JahJavith,,"['AK', 'Valimai']",RT @Akshara_Reddy_
2022-01-06 15,TanagerScarlett,3rd Rock from the Sun,"['Omicron', 'ThirdWave']",RT @nehakhanna_07
2022-01-06 15,uccainna,"Rajasthan, India","['corona', 'Omicron', 'Weathercloud', 'बारिश', 'REET']",RT @Rashkagauri
2022-01-06 15,3dprintRaceTech,"California, USA","['Omicron', 'antivaxxers']",RT @TheoMoudakis
2022-01-06 15,LolitaZulay2,,"['Canada', 'Ontario', 'ARNm']",RT @AUSTROHNGARO2
2022-01-06 15,DRPAULTEICH,ABINGTON PA,"['TrumpCoupAttempt', 'Israel', 'Messiah']",@johnlundin #TrumpCoupAttempt  HIS FOLLOWERS CONSIDER HIM THE KING OF #Israel  AND THE #Messiah  PRE
2022-01-06 15,YTZJewels,Living in midtown 6ix 🇨🇦,[],@LateNightCam Agreed. Lessons need to be learned and taught. They should be on the hook financially 
2022-01-06 15,imsuprateek,India,['Omicron'],RT @BDUTT
2022-01-06 15,EuropeanTraders,Germany France Spain Italy ,[],$UAL $LUV $SPY $SPX $ARKK $TSLA $BBIG $FB $QQQ $NDX $MRNA $CZR $VIX $AAL $SAVE $CCL $DWAC $RCL $LCID
2022-01-06 15,simardren1,victoriaville,[],RT @JeanBottari
2022-01-06 15,bckaemper,"Stuttgart, Germany",['Omicron'],RT @BrinkmannLab
2022-01-06 15,CUSystem,COLORADO,"['Omicron', 'COVID19']",RT @CUToddSaliman
2022-01-06 15,tomiguieles,,['COVID19'],RT @rafaelg_fisica
2022-01-06 15,Peter37570912,,[],RT @HowardSteen4
2022-01-06 15,HumanRe41270855,"Berlin, Germany",[],RT @CopaceticNI
2022-01-06 15,JahJavith,,"['AK', 'Valimai']",RT @Akshara_Reddy_
2022-01-06 15,TanagerScarlett,3rd Rock from the Sun,"['Omicron', 'ThirdWave']",RT @nehakhanna_07
2022-01-06 15,uccainna,"Rajasthan, India","['corona', 'Omicron', 'Weathercloud', 'बारिश', 'REET']",RT @Rashkagauri
2022-01-06 15,3dprintRaceTech,"California, USA","['Omicron', 'antivaxxers']",RT @TheoMoudakis
2022-01-06 15,LolitaZulay2,,"['Canada', 'Ontario', 'ARNm']",RT @AUSTROHNGARO2
2022-01-06 15,DRPAULTEICH,ABINGTON PA,"['TrumpCoupAttempt', 'Israel', 'Messiah']",@johnlundin #TrumpCoupAttempt  HIS FOLLOWERS CONSIDER HIM THE KING OF #Israel  AND THE #Messiah  PRE
2022-01-06 15,YTZJewels,Living in midtown 6ix 🇨🇦,[],@LateNightCam Agreed. Lessons need to be learned and taught. They should be on the hook financially 
2022-01-06 15,imsuprateek,India,['Omicron'],RT @BDUTT
2022-01-06 15,EuropeanTraders,Germany France Spain Italy ,[],$UAL $LUV $SPY $SPX $ARKK $TSLA $BBIG $FB $QQQ $NDX $MRNA $CZR $VIX $AAL $SAVE $CCL $DWAC $RCL $LCID
2022-01-06 15,simardren1,victoriaville,[],RT @JeanBottari
2022-01-06 15,bckaemper,"Stuttgart, Germany",['Omicron'],RT @BrinkmannLab
2022-01-06 15,CUSystem,COLORADO,"['Omicron', 'COVID19']",RT @CUToddSaliman
2022-01-06 15,tomiguieles,,['COVID19'],RT @rafaelg_fisica
2022-01-06 15,Asl45115087,,[],RT @AK_4806
2022-01-06 15,FreddyCruger200,India,"['Omicron', 'Valimai']",RT @dharmachandru
